"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Tao giao dich MoMo amount 1999000","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""MOMO1_{{run_id}}"",""amount"":1999000,""orderInfo"":""Thanh toan khoa hoc 1"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC02 Tao giao dich MoMo amount 2499000","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""MOMO2_{{run_id}}"",""amount"":2499000,""orderInfo"":""Thanh toan khoa hoc 2"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC03 Tao giao dich MoMo amount 1000","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""MOMO3_{{run_id}}"",""amount"":1000,""orderInfo"":""Thanh toan toi thieu"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC04 Tao giao dich MoMo amount 5000000","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""MOMO4_{{run_id}}"",""amount"":5000000,""orderInfo"":""Thanh toan don lon"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC05 Tao giao dich voi extraData","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""MOMO5_{{run_id}}"",""amount"":2999000,""orderInfo"":""Thanh toan co extraData"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""courseIds=1,2""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC06 Action invalid","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""invalid-action""}","","400","","","","","invalid action","","","","","momoFunctionUrl"
"TC07 Callback sai signature","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""callback"",""partnerCode"":""MOMO"",""orderId"":""MOMO_CB1_{{run_id}}"",""requestId"":""REQ1"",""amount"":1000,""orderInfo"":""Test callback"",""orderType"":""momo_wallet"",""transId"":1,""resultCode"":0,""message"":""Success"",""payType"":""qr"",""responseTime"":123456789,""extraData"":"""",""signature"":""invalid""}","","400","","","","","invalid signature","","","","","momoFunctionUrl"
"TC08 IPN sai signature","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""ipn"",""partnerCode"":""MOMO"",""orderId"":""MOMO_IPN1_{{run_id}}"",""requestId"":""REQ2"",""amount"":1000,""orderInfo"":""Test ipn"",""orderType"":""momo_wallet"",""transId"":2,""resultCode"":0,""message"":""Success"",""payType"":""qr"",""responseTime"":123456790,""extraData"":"""",""signature"":""invalid""}","","400","","","","","invalid signature","","","","","momoFunctionUrl"
"TC09 Tao giao dich cho 3 khoa hoc","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""MOMO9_{{run_id}}"",""amount"":6999000,""orderInfo"":""Thanh toan 3 khoa hoc"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""courseIds=1,2,3""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC10 Tao giao dich lap lai voi orderId moi","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""MOMO10_{{run_id}}"",""amount"":1599000,""orderInfo"":""Thanh toan lap lai"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
