"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass tao giao dich amount 1999000","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""PF_MOMO1_{{run_id}}"",""amount"":1999000,""orderInfo"":""Thanh toan 1"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC02 Pass tao giao dich amount 2499000","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""PF_MOMO2_{{run_id}}"",""amount"":2499000,""orderInfo"":""Thanh toan 2"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC03 Fail action invalid","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""invalid-action""}","","400","","","","","invalid action","","","","","momoFunctionUrl"
"TC04 Pass tao giao dich amount 1000","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""PF_MOMO4_{{run_id}}"",""amount"":1000,""orderInfo"":""Thanh toan min"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC05 Fail callback sai signature","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""callback"",""partnerCode"":""MOMO"",""orderId"":""CB1_{{run_id}}"",""requestId"":""REQ1"",""amount"":1000,""orderInfo"":""Test callback"",""orderType"":""momo_wallet"",""transId"":1,""resultCode"":0,""message"":""Success"",""payType"":""qr"",""responseTime"":123456789,""extraData"":"""",""signature"":""invalid""}","","400","","","","","invalid signature","","","","","momoFunctionUrl"
"TC06 Pass tao giao dich extraData","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""PF_MOMO6_{{run_id}}"",""amount"":2999000,""orderInfo"":""Thanh toan extraData"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""courseIds=1,2""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC07 Fail ipn sai signature","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""ipn"",""partnerCode"":""MOMO"",""orderId"":""IPN1_{{run_id}}"",""requestId"":""REQ2"",""amount"":1000,""orderInfo"":""Test ipn"",""orderType"":""momo_wallet"",""transId"":2,""resultCode"":0,""message"":""Success"",""payType"":""qr"",""responseTime"":123456790,""extraData"":"""",""signature"":""invalid""}","","400","","","","","invalid signature","","","","","momoFunctionUrl"
"TC08 Pass tao giao dich don lon","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""PF_MOMO8_{{run_id}}"",""amount"":5000000,""orderInfo"":""Thanh toan lon"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC09 Pass tao giao dich 3 khoa hoc","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""create"",""orderId"":""PF_MOMO9_{{run_id}}"",""amount"":6999000,""orderInfo"":""Thanh toan 3 khoa hoc"",""redirectUrl"":""http://localhost:5173/checkout/callback"",""ipnUrl"":""http://localhost:5173/api/momo-ipn"",""extraData"":""courseIds=1,2,3""}","","200","true","","","resultCode,orderId,requestId","","","","","","momoFunctionUrl"
"TC10 Fail callback body thieu signature","POST","absolute","","{{momoFunctionUrl}}","","{""action"":""callback"",""partnerCode"":""MOMO""}","","400","","","","","invalid signature","","","","","momoFunctionUrl"
