"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Dang ky khoa hoc 1 cho u1","POST","","/api/enrollments","","","{""userId"":""u1"",""courseId"":""1""}","200|400","","","","","","","","","","",""
"TC02 Dang ky khoa hoc 2 cho u1","POST","","/api/enrollments","","","{""userId"":""u1"",""courseId"":""2""}","200|400","","","","","","","","","","",""
"TC03 Dang ky khoa hoc 1 cho u2","POST","","/api/enrollments","","","{""userId"":""u2"",""courseId"":""1""}","200|400","","","","","","","","","","",""
"TC04 Lay danh sach khoa hoc da dang ky cua u1","GET","","/api/enrollments/user/u1","","","","","","true","true","1","","","","","","",""
"TC05 Lay danh sach khoa hoc da dang ky cua u2","GET","","/api/enrollments/user/u2","","","","","","true","true","1","","","","","","",""
"TC06 Lay danh sach bai hoc khoa hoc 1","GET","","/api/lessons/course/1","","","","","","true","true","1","","","","","","",""
"TC07 Lay danh sach bai hoc khoa hoc 2","GET","","/api/lessons/course/2","","","","","","true","true","1","","","","","","",""
"TC08 Lay chi tiet bai hoc l1","GET","","/api/lessons/l1","","","","","","true","","","id,courseId,title,videoUrl,videoType","","","","","",""
"TC09 Lay chi tiet bai hoc l6","GET","","/api/lessons/l6","","","","","","true","","","id,courseId,title,videoUrl,videoType","","","","","",""
"TC10 Danh dau u1 da xem l1","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l1"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC11 Danh dau u1 da xem l2","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l2"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC12 Danh dau u2 da xem l6","POST","","/api/lesson-progress","","","{""userId"":""u2"",""lessonId"":""l6"",""courseId"":""2""}","","200","","","","","","","","","",""
