"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass lay review khoa hoc 1","GET","","/api/reviews/course/1","","","","","true","true","1","","","","","","","",""
"TC02 Pass tao review A","POST","","/api/reviews","","","{""userId"":""u1"",""courseId"":""1"",""rating"":5,""comment"":""PF UC9 review A {{run_id}}"",""userName"":""Test User""}","","200","true","","","id,userId,courseId,rating,comment,userName,createdAt","","","id","review_id","",""
"TC03 Pass cap nhat review A","PUT","","/api/reviews/{{review_id}}","","","{""rating"":4,""comment"":""PF UC9 review A updated {{run_id}}""}","","200","true","","","","","{""rating"":4,""comment"":""PF UC9 review A updated {{run_id}}""}","","","",""
"TC04 Pass xoa review A","DELETE","","/api/reviews/{{review_id}}","","","","","200","","","","","xoa thanh cong","","","","review_id",""
"TC05 Fail tao review rating 0","POST","","/api/reviews","","","{""userId"":""u1"",""courseId"":""1"",""rating"":0,""comment"":""bad rating"",""userName"":""Test User""}","","400","","","","","rating","","","","",""
"TC06 Fail tao review rating 6","POST","","/api/reviews","","","{""userId"":""u1"",""courseId"":""1"",""rating"":6,""comment"":""bad rating"",""userName"":""Test User""}","","400","","","","","rating","","","","",""
"TC07 Fail tao review thieu userId","POST","","/api/reviews","","","{""courseId"":""1"",""rating"":5,""comment"":""missing user"",""userName"":""Test User""}","","400","","","","","userId","","","","",""
"TC08 Pass lay review khoa hoc 2","GET","","/api/reviews/course/2","","","","","true","true","1","","","","","","","",""
"TC09 Fail cap nhat review khong ton tai","PUT","","/api/reviews/not-found-review","","","{""rating"":4,""comment"":""not found""}","","404","","","","","","","","","",""
"TC10 Fail xoa review khong ton tai","DELETE","","/api/reviews/not-found-review","","","","404","","","","","","","","","","",""
