"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass dam bao dang ky khoa hoc 1","POST","","/api/enrollments","","","{""userId"":""u1"",""courseId"":""1""}","200|400","","","","","","","","","","",""
"TC02 Pass danh dau l1 da xem","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l1"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC03 Pass cap nhat progress 20","PUT","","/api/enrollments/progress","","","{""userId"":""u1"",""courseId"":""1"",""completedLessons"":[""l1""],""progress"":20,""status"":""active""}","","200","true","","","","","{""courseId"":""1"",""userId"":""u1"",""status"":""active""}","","","",""
"TC04 Pass lay progress theo khoa hoc","GET","","/api/lesson-progress/user/u1/course/1","","","","","","true","true","1","","","","","","",""
"TC05 Pass kiem tra progress bai hoc l1","GET","","/api/lesson-progress/user/u1/lesson/l1","","","","200|404","","true","","","","","","","","",""
"TC06 Fail cap nhat progress cho course chua dang ky","PUT","","/api/enrollments/progress","","","{""userId"":""u1"",""courseId"":""999999"",""completedLessons"":[""l1""],""progress"":20,""status"":""active""}","","404","","","","","","","","","",""
"TC07 Fail danh dau lesson thieu courseId","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l1""}","","400","","","","","courseId","","","","",""
"TC08 Pass danh dau l2 da xem","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l2"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC09 Pass cap nhat progress 40","PUT","","/api/enrollments/progress","","","{""userId"":""u1"",""courseId"":""1"",""completedLessons"":[""l1"",""l2""],""progress"":40,""status"":""active""}","","200","true","","","","","{""courseId"":""1"",""userId"":""u1"",""status"":""active""}","","","",""
"TC10 Fail kiem tra progress lesson khong ton tai","GET","","/api/lesson-progress/user/u1/lesson/not-found-lesson","","","","","404","","","","","","","","","",""
