"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Dam bao dang ky khoa hoc 1 cho u1","POST","","/api/enrollments","","","{""userId"":""u1"",""courseId"":""1""}","200|400","","","","","","","","","","",""
"TC02 Danh dau u1 da xem l1","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l1"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC03 Cap nhat progress 20 phan tram","PUT","","/api/enrollments/progress","","","{""userId"":""u1"",""courseId"":""1"",""completedLessons"":[""l1""],""progress"":20,""status"":""active""}","","200","true","","","","","{""courseId"":""1"",""userId"":""u1"",""status"":""active""}","","","",""
"TC04 Lay progress theo khoa hoc sau l1","GET","","/api/lesson-progress/user/u1/course/1","","","","","","true","true","1","","","","","","",""
"TC05 Kiem tra progress bai hoc l1","GET","","/api/lesson-progress/user/u1/lesson/l1","","","","200|404","","true","","","","","","","","",""
"TC06 Danh dau u1 da xem l2","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l2"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC07 Cap nhat progress 40 phan tram","PUT","","/api/enrollments/progress","","","{""userId"":""u1"",""courseId"":""1"",""completedLessons"":[""l1"",""l2""],""progress"":40,""status"":""active""}","","200","true","","","","","{""courseId"":""1"",""userId"":""u1"",""status"":""active""}","","","",""
"TC08 Danh dau u1 da xem l3","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l3"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC09 Cap nhat progress 60 phan tram","PUT","","/api/enrollments/progress","","","{""userId"":""u1"",""courseId"":""1"",""completedLessons"":[""l1"",""l2"",""l3""],""progress"":60,""status"":""active""}","","200","true","","","","","{""courseId"":""1"",""userId"":""u1"",""status"":""active""}","","","",""
"TC10 Lay lai danh sach bai da xem","GET","","/api/lesson-progress/user/u1/course/1","","","","","","true","true","1","","","","","","",""
"TC11 Kiem tra progress bai hoc l2","GET","","/api/lesson-progress/user/u1/lesson/l2","","","","200|404","","true","","","","","","","","",""
"TC12 Kiem tra progress bai hoc khong ton tai","GET","","/api/lesson-progress/user/u1/lesson/unknown-lesson","","","","","404","","","","","","","","","",""
