"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Lay quiz lesson l2","GET","","/api/quizzes/lesson/l2","","","","","","true","true","1","","","","","","",""
"TC02 Lay quiz lesson l4","GET","","/api/quizzes/lesson/l4","","","","","","true","true","1","","","","","","",""
"TC03 Lay chi tiet quiz q1","GET","","/api/quizzes/q1","","","","","","true","","","id,lessonId,title,durationMinutes,questions","","","","","",""
"TC04 Lay chi tiet quiz q2","GET","","/api/quizzes/q2","","","","","","true","","","id,lessonId,title,durationMinutes,questions","","","","","",""
"TC05 Nop quiz q1 all correct","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q1"",""answers"":[0,1,2]}","","200","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC06 Nop quiz q1 mot phan dung","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q1"",""answers"":[0,0,2]}","","200","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC07 Nop quiz q2 all correct","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q2"",""answers"":[3,0,1]}","","200","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC08 Nop quiz q2 sai het","POST","","/api/quiz-results","","","{""userId"":""u1"",""quizId"":""q2"",""answers"":[0,1,2]}","","200","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC09 Xem ket qua q1 moi nhat","GET","","/api/quiz-results/user/u1/quiz/q1/latest","","","","","","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC10 Xem ket qua q2 moi nhat","GET","","/api/quiz-results/user/u1/quiz/q2/latest","","","","","","true","","","id,userId,quizId,score,totalQuestions,answers,submittedAt","","","","","",""
"TC11 Lay tat ca ket qua quiz cua u1","GET","","/api/quiz-results/user/u1","","","","","","true","true","1","","","","","","",""
"TC12 Quiz khong ton tai","GET","","/api/quizzes/unknown-quiz","","","","","404","","","","","","","","","",""
