"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Pass dang ky khoa hoc 1 cho u1","POST","","/api/enrollments","","","{""userId"":""u1"",""courseId"":""1""}","200|400","","","","","","","","","","",""
"TC02 Pass dang ky khoa hoc 2 cho u1","POST","","/api/enrollments","","","{""userId"":""u1"",""courseId"":""2""}","200|400","","","","","","","","","","",""
"TC03 Fail dang ky khoa hoc khong ton tai","POST","","/api/enrollments","","","{""userId"":""u1"",""courseId"":""999999""}","","500","","","","","","","","","",""
"TC04 Pass lay danh sach dang ky u1","GET","","/api/enrollments/user/u1","","","","","","true","true","1","","","","","","",""
"TC05 Pass lay bai hoc khoa hoc 1","GET","","/api/lessons/course/1","","","","","","true","true","1","","","","","","",""
"TC06 Pass lay bai hoc khoa hoc 2","GET","","/api/lessons/course/2","","","","","","true","true","1","","","","","","",""
"TC07 Pass lay chi tiet bai hoc l1","GET","","/api/lessons/l1","","","","","","true","","","id,courseId,title,videoUrl,videoType","","","","","",""
"TC08 Fail lay chi tiet bai hoc khong ton tai","GET","","/api/lessons/not-found-lesson","","","","","404","","","","","","","","","",""
"TC09 Pass danh dau u1 da xem l1","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l1"",""courseId"":""1""}","","200","","","","","","","","","",""
"TC10 Fail danh dau bai hoc thieu courseId","POST","","/api/lesson-progress","","","{""userId"":""u1"",""lessonId"":""l1""}","","400","","","","","userId","","","","",""
