"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Lay review khoa hoc 1","GET","","/api/reviews/course/1","","","","","","true","true","1","","","","","","",""
"TC02 Tao review A","POST","","/api/reviews","","","{""userId"":""u1"",""courseId"":""1"",""rating"":5,""comment"":""UC9 review A {{run_id}}"",""userName"":""Test User""}","","200","true","","","id,userId,courseId,rating,comment,userName,createdAt","","","id","review_id","",""
"TC03 Cap nhat review A","PUT","","/api/reviews/{{review_id}}","","","{""rating"":4,""comment"":""UC9 review A updated {{run_id}}""}","","200","true","","","","","{""rating"":4,""comment"":""UC9 review A updated {{run_id}}""}","","","",""
"TC04 Xoa review A","DELETE","","/api/reviews/{{review_id}}","","","","","200","","","","","xoa","","","","review_id",""
"TC05 Tao review B","POST","","/api/reviews","","","{""userId"":""u1"",""courseId"":""1"",""rating"":5,""comment"":""UC9 review B {{run_id}}"",""userName"":""Test User""}","","200","true","","","id,userId,courseId,rating,comment,userName,createdAt","","","id","review_id","",""
"TC06 Cap nhat review B","PUT","","/api/reviews/{{review_id}}","","","{""rating"":3,""comment"":""UC9 review B updated {{run_id}}""}","","200","true","","","","","{""rating"":3,""comment"":""UC9 review B updated {{run_id}}""}","","","",""
"TC07 Xoa review B","DELETE","","/api/reviews/{{review_id}}","","","","","200","","","","","xoa","","","","review_id",""
"TC08 Tao review sai rating 0","POST","","/api/reviews","","","{""userId"":""u1"",""courseId"":""1"",""rating"":0,""comment"":""bad rating"",""userName"":""Test User""}","","400","","","","","rating","","","","",""
"TC09 Tao review sai rating 6","POST","","/api/reviews","","","{""userId"":""u1"",""courseId"":""1"",""rating"":6,""comment"":""bad rating"",""userName"":""Test User""}","","400","","","","","rating","","","","",""
"TC10 Lay review khoa hoc 2","GET","","/api/reviews/course/2","","","","","","true","true","1","","","","","","",""
"TC11 Lay review khoa hoc khong ton tai","GET","","/api/reviews/course/999999","","","","","","true","true","","","","","","","",""
