"tc_name","method","url_mode","path","url_template","headers_json","body_raw","expected_statuses","expected_status","expect_json","expect_array","expect_array_min","expected_keys_csv","expected_text_contains","expected_field_values_json","save_response_field","save_to","unset_variable","skip_if_var_missing"
"TC01 Lay danh sach khoa hoc","GET","","/api/courses","","","","","","true","true","1","","","","","","",""
"TC02 Lay chi tiet khoa hoc 1","GET","","/api/courses/1","","","","","","true","","","id,title,description,instructor,price","","","","","",""
"TC03 Lay chi tiet khoa hoc 2","GET","","/api/courses/2","","","","","","true","","","id,title,description,instructor,price","","","","","",""
"TC04 Lay lesson cua khoa hoc 1","GET","","/api/lessons/course/1","","","","","","true","true","1","","","","","","",""
"TC05 Lay lesson cua khoa hoc 2","GET","","/api/lessons/course/2","","","","","","true","true","1","","","","","","",""
"TC06 Lay chi tiet bai hoc l1","GET","","/api/lessons/l1","","","","","","true","","","id,courseId,title","","","","","",""
"TC07 Lay chi tiet bai hoc l6","GET","","/api/lessons/l6","","","","","","true","","","id,courseId,title","","","","","",""
"TC08 Lay khoa hoc khong ton tai","GET","","/api/courses/999999","","","","","404","","","","","","","","","",""
"TC09 Lay bai hoc khong ton tai","GET","","/api/lessons/unknown-lesson","","","","","404","","","","","","","","","",""
"TC10 Lay lai danh sach khoa hoc de xac nhan","GET","","/api/courses","","","","","","true","true","1","","","","","","",""
